exchanges,hours,last_exchange,members,offers,requests,url
1132,5997,1 hour 25 min ago,178,37,28,http://addington.timebanks.org
439,1375,2 years 41 weeks ago,207,0,0,http://aha.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://alticultura.timebanks.org
2,3,3 years 12 weeks ago,8,0,0,http://andersoncommunity.timebanks.org
1,5,1 year 30 weeks ago,8,4,4,http://ate.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://avl.timebanks.org
2179,4889,5 weeks 2 days ago,58,91,80,http://atx.timebanks.org
7,14,1 year 47 weeks ago,11,0,0,http://labodunautilus.timebanks.org
74,384,4 weeks 6 days ago,37,2,2,http://blackhills.timebanks.org
199,1140,18 hours 59 min ago,176,59,50,http://ujimaboston.timebanks.org
17391,52351,3 hours 23 min ago,170,162,197,http://brattleboro.timebanks.org
1042,6059,1 day 13 hours ago,172,24,32,http://bridge2rocks.timebanks.org
10980,26270,4 hours 3 min ago,124,104,115,http://capeann.timebanks.org
396,913,2 days 3 hours ago,49,11,4,http://care.timebanks.org
5,6,1 year 6 weeks ago,2,0,0,http://engaging.timebanks.org
834,2044,5 hours 52 min ago,107,31,33,http://cris.timebanks.org
none (start up),none (start up),none (start up),4,0,0,http://centraliowa.timebanks.org
56,102,5 weeks 5 days ago,71,14,14,http://lincolnskillshare.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://nzcentralpermaculture.timebanks.org
none (start up),none (start up),none (start up),5,0,0,http://changexchange.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://circlenomic.timebanks.org
none (start up),none (start up),none (start up),8,4,4,http://citypark.timebanks.org
6306,14393,2 days 56 min ago,284,114,108,http://columbia.timebanks.org
6,18,2 weeks 3 days ago,22,6,7,http://slocanvalley.timebanks.org
625,7712,3 years 38 weeks ago,453,10,9,http://manasota.timebanks.org
30191,209344,4 days 2 hours ago,225,6881,6857,http://tdn.timebanks.org
379,970,4 days 3 hours ago,18,80,76,http://cse.timebanks.org
1439,4889,2 days 1 hour ago,58,41,45,http://communityskillexchange.timebanks.org
67,111,3 days 2 hours ago,91,76,14,http://richmondcounty.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://northfrontenac.timebanks.org
5,22,3 years 20 weeks ago,11,0,0,http://katytx.timebanks.org
22488,68899,1 hour 6 min ago,431,245,290,http://crookedriver.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://danvilledollars.timebanks.org
361,1080,6 weeks 6 days ago,219,42,38,http://dc.timebanks.org
405,1285,1 year 7 weeks ago,127,0,0,http://dhe.timebanks.org
43,94,1 year 25 weeks ago,42,8,6,http://democw3.timebanks.org
4,5,1 year 24 weeks ago,52,1,1,http://denton.timebanks.org
644,5341,2 days 21 hours ago,100,33,34,http://dunedin.timebanks.org
none (start up),none (start up),none (start up),8,0,0,http://durham.timebanks.org
none (start up),none (start up),none (start up),4,0,0,http://eann.timebanks.org
227,811,4 days 18 hours ago,94,11,14,http://earn.timebanks.org
5646,19627,3 hours 17 min ago,192,33,31,http://eastbay.timebanks.org
10,119,2 years 28 weeks ago,6,0,0,http://fablabchch.timebanks.org
1,1,28 weeks 54 min ago,5,0,1,http://fairbanks.timebanks.org
3,12,31 weeks 5 days ago,33,1,1,http://farnorth.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://farmster.timebanks.org
1,1,2 years 18 weeks ago,6,0,0,http://flourish.timebanks.org
721,1599,2 weeks 1 day ago,91,46,49,http://frederick.timebanks.org
1,1,1 year 36 weeks ago,15,0,0,http://ghoodcalgary.timebanks.org
none (start up),none (start up),none (start up),1,0,0,http://karma.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://globetable.timebanks.org
21,51,1 week 4 hours ago,24,11,5,http://goodneighborstb.timebanks.org
4,13,3 years 5 weeks ago,14,9,9,http://scgm.timebanks.org
518,1177,2 hours 6 min ago,51,34,36,http://greatbay.timebanks.org
10,25,3 years 5 weeks ago,8,0,0,http://gct.timebanks.org
59,99,46 weeks 2 hours ago,50,12,12,http://greaterheights.timebanks.org
326,1282,32 weeks 3 days ago,202,102,103,http://gwtb.timebanks.org
23,111,11 weeks 4 days ago,9,10,10,http://choptank.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://healthyoutcomeswin.timebanks.org
38,47,2 years 4 weeks ago,31,0,0,http://bc-historyofmoney.timebanks.org
none (start up),none (start up),none (start up),1,0,0,http://hopexchange.timebanks.org
49,106,1 year 36 weeks ago,42,3,3,http://hour4ourworld.timebanks.org
25,60,21 weeks 4 days ago,38,19,19,http://hourcommunityinterfaith.timebanks.org
116,117,6 hours 58 min ago,50,9,9,http://isiinc.timebanks.org
16,49,20 weeks 4 hours ago,66,8,8,http://jeffersoncommunity.timebanks.org
117,189,1 year 3 weeks ago,37,3,3,http://jerseyshore.timebanks.org
2180,11097,1 day 2 hours ago,119,77,85,http://kaitaia.timebanks.org
none (start up),none (start up),none (start up),3,0,0,http://kapiti50.timebanks.org
none (start up),none (start up),none (start up),1,0,0,http://klc.timebanks.org
1,2,3 years 24 weeks ago,4,0,0,http://khokha.timebanks.org
72,179,23 weeks 1 day ago,120,15,20,http://letsbmore.timebanks.org
none (start up),none (start up),none (start up),11,0,0,http://margination.timebanks.org
5,5,1 year 47 weeks ago,6,0,0,http://meadville.timebanks.org
1362,4304,12 hours 59 min ago,152,39,73,http://midcanterbury.timebanks.org
161,414,3 years 14 weeks ago,29,1,1,http://mk.timebanks.org
2,4,2 years 14 weeks ago,5,0,0,http://mttimeexchange.timebanks.org
117,371,16 weeks 1 day ago,67,10,5,http://murihiku.timebanks.org
none (start up),none (start up),none (start up),17,0,0,http://mwdi.timebanks.org
263,2245,4 weeks 5 days ago,467,18,9,http://nbnneighborhoodnetwork.timebanks.org
31,34,18 weeks 20 hours ago,18,9,4,http://piedmont.timebanks.org
none (start up),none (start up),none (start up),3,0,0,http://theneighborhoodvillage.timebanks.org
53,152,2 years 40 weeks ago,17,0,0,http://nerd.timebanks.org
201,344,3 days 5 hours ago,127,39,29,http://nether-swarthmore.timebanks.org
782,2069,4 days 15 min ago,145,65,61,http://nrv.timebanks.org
1216,2804,2 weeks 3 hours ago,362,156,156,http://nola.timebanks.org
none (start up),none (start up),none (start up),5,2,2,http://norman.timebanks.org
none (start up),none (start up),none (start up),3,0,0,http://ncc.timebanks.org
1613,4291,4 days 19 hours ago,137,35,26,http://northwestnewjersey.timebanks.org
31,86,3 years 24 weeks ago,87,0,0,http://oahu.timebanks.org
60,106,9 weeks 22 hours ago,40,35,24,http://ojai.timebanks.org
16449,49337,2 days 3 hours ago,163,201,202,http://orexchange.timebanks.org
2778,7396,8 weeks 2 days ago,74,8,8,http://otaki.timebanks.org
10,23,2 years 44 weeks ago,6,1,1,http://ourcommunity.timebanks.org
49,253,1 year 48 weeks ago,32,0,0,http://oscab.timebanks.org
160,231,1 year 39 weeks ago,44,14,14,http://washingtoncountywi.timebanks.org
5,8,3 years 40 weeks ago,19,18,18,http://pay4wardbank.timebanks.org
11929,41212,6 hours 6 min ago,164,51,69,http://patb.timebanks.org
164,350,6 days 22 hours ago,23,5,7,http://porirua.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://pridestl.timebanks.org
363,864,1 year 50 weeks ago,77,5,8,http://projectbunbury.timebanks.org
107,344,6 days 22 hours ago,32,42,45,http://reciprocity.timebanks.org
3,7,1 year 33 weeks ago,12,0,0,http://rvtb.timebanks.org
none (start up),none (start up),none (start up),5,3,3,http://scouts.timebanks.org
1950,4512,5 min 17 sec ago,218,122,125,http://sebastopolarea.timebanks.org
5161,16941,2 years 29 weeks ago,157,0,0,http://sobrantepark.timebanks.org
108,446,19 hours 38 min ago,18,15,6,http://springhillfl.timebanks.org
2,29856,27 weeks 2 days ago,9,2,2,http://spurt.timebanks.org
3273,7742,35 min 1 sec ago,166,180,211,http://stpete.timebanks.org
2,7,17 weeks 1 day ago,126,5,4,http://startribehours.timebanks.org
1964,4760,1 day 4 hours ago,50,105,93,http://swel.timebanks.org
29,149,36 weeks 6 days ago,28,16,9,http://takomatime.timebanks.org
12,52,46 weeks 19 min ago,12,17,16,http://taneycounty.timebanks.org
2517,5722,19 min 29 sec ago,291,63,66,http://taranaki.timebanks.org
1,1,25 weeks 1 day ago,3,0,0,http://test-launch-2018-07-28-2058.timebanks.org
1,2,12 weeks 1 day ago,19,1,2,http://thecommunityproject.timebanks.org
2988,6027,3 days 15 hours ago,266,46,35,http://huttsouth.timebanks.org
11923,153370,2 hours 41 min ago,860,15,26,http://lyttelton.timebanks.org
1,2,1 year 51 weeks ago,10,1,1,http://sanctuaryseniorvillage.timebanks.org
4512,7863,6 weeks 5 hours ago,65,161,160,http://tierrasanta.timebanks.org
3,3,3 years 24 weeks ago,18,0,0,http://galesburgil.timebanks.org
446,1950,1 year 12 weeks ago,209,2,2,http://westmilford.timebanks.org
468,900,3 hours 24 min ago,119,82,80,http://stannsbay.timebanks.org
21,42,11 weeks 15 hours ago,16,1,4,http://kaikoura.timebanks.org
4539,28675,1 day 53 min ago,176,79,84,http://mainetime.timebanks.org
26,647,12 weeks 20 hours ago,24,3,3,http://newzealand.timebanks.org
95,61,2 years 2 weeks ago,79,1,1,http://tbfredericton.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://tbhawaii.timebanks.org
3434,14912,4 hours 11 min ago,340,19,17,http://hurunui.timebanks.org
441,2953,13 weeks 20 hours ago,165,31,32,http://mcs1stopindy.timebanks.org
730,1995,3 weeks 6 days ago,87,42,45,http://manawatu.timebanks.org
3915,16326,28 weeks 6 days ago,349,10,9,http://media.timebanks.org
722,3117,5 days 23 hours ago,9,47,48,http://nb.timebanks.org
2230,5058,20 hours 32 min ago,114,38,29,http://raglan.timebanks.org
1696,8175,2 days 19 hours ago,73,27,24,http://upperhutt.timebanks.org
30,87,1 day 33 min ago,23,7,7,http://waimakariri.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://tb13069.timebanks.org
2486,5571,5 days 2 hours ago,184,31,25,http://tops.timebanks.org
9737,36524,2 days 7 hours ago,640,1,1,http://korea.timebanks.org
37,63,3 years 33 weeks ago,33,4,4,http://tlv.timebanks.org
316,1562,1 week 1 hour ago,133,23,29,http://timeforall.timebanks.org
579,3717,1 year 31 weeks ago,96,4,4,http://timetradersnorth.timebanks.org
19,170,2 weeks 4 days ago,52,3,6,http://togetherwecan.timebanks.org
136,317,24 weeks 7 hours ago,41,15,15,http://tullyarea.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://ubuntu.timebanks.org
1993,7460,5 hours 54 min ago,329,5,2,http://udc.timebanks.org
186,670,4 weeks 6 days ago,94,13,19,http://unityexchange.timebanks.org
none (start up),none (start up),none (start up),2,0,0,http://uva.timebanks.org
112,217,3 years 3 days ago,36,0,0,http://villagece.timebanks.org
1913,4686,20 weeks 15 min ago,245,12,10,http://waikato.timebanks.org
159,324,1 week 34 min ago,62,67,66,http://wairarapa.timebanks.org
227,372,48 weeks 2 days ago,44,2,3,http://waitaki.timebanks.org
57,920,28 weeks 17 hours ago,55,3,3,http://wanaka.timebanks.org
8517,21880,16 hours 43 min ago,593,78,103,http://wellingtonsouth.timebanks.org
35,61,25 weeks 5 days ago,19,2,3,http://westprairievillage.timebanks.org
3429,9794,3 hours 53 min ago,405,61,82,http://westseattle.timebanks.org
1,1,1 year 31 weeks ago,10,0,0,http://wncw.timebanks.org
20,30,2 years 29 weeks ago,25,0,0,http://wecompassionatecommunity.timebanks.org
158,1058,6 days 4 hours ago,151,10,9,http://york.timebanks.org
